,UU2010,LIBUU2010,DEP,ACT_IN,ACT_OUT,ACT_TOTAL,POP2010,LIBBIS
1050,39102,Moirans-en-Montagne,39,460,404,864,2284,Moirans-en-Montagne
1051,39103,Fraisans,39,177,876,1052,2437,Fraisans
1052,39104,Saint-Amour,39,437,841,1278,3261,Saint-Amour
1053,39105,Salins-les-Bains,39,605,524,1129,3208,Salins-les-Bains
1054,39106,Saint-Lupicin,39,657,1061,1718,4018,Saint-Lupicin
1055,39107,Poligny,39,1006,439,1445,4226,Poligny
1056,39108,Arbois,39,923,949,1872,4473,Arbois
1057,39201,Tavaux,39,1035,2210,3244,7575,Tavaux
1058,39202,Hauts de Bienne,39,1137,2113,3250,7409,Hauts de Bienne
1059,39301,Champagnole,39,1955,1610,3566,10064,Champagnole
1060,39302,Saint-Claude,39,2992,1340,4331,11653,Saint-Claude
1061,39401,Lons-le-Saunier,39,5319,5331,10650,27161,Lons-le-Saunier
1062,39402,Dole,39,6408,5313,11722,30872,Dole
1063,40101,Labouheyre,40,481,359,840,2592,Labouheyre
1064,40102,Roquefort,40,396,817,1213,2994,Roquefort
1065,40103,Grenade-sur-l'Adour,40,357,930,1287,3103,Grenade-sur-l'Adour
1066,40104,Tartas,40,465,851,1316,3576,Tartas
1067,40105,Ondres,40,267,1703,1970,4555,Ondres
1068,40106,Labenne,40,480,1324,1804,4803,Labenne
1069,40107,Morcenx,40,927,611,1538,4606,Morcenx
1070,40108,Saint-Sever,40,912,928,1839,4789,Saint-Sever
1071,40109,Parentis-en-Born,40,826,1272,2098,5304,Parentis-en-Born
1072,40201,Hagetmau,40,1020,930,1951,5168,Hagetmau
1073,40202,Pouillon,40,559,1725,2284,5344,Pouillon
1074,40203,Mimizan,40,1814,654,2468,7069,Mimizan
1075,40204,Peyrehorade,40,909,1940,2849,7024,Peyrehorade
1076,40205,Soustons,40,1528,1276,2804,7294,Soustons
1077,40301,Capbreton,40,1965,2025,3990,11688,Capbreton
1078,40302,Biscarrosse,40,2972,1573,4545,12197,Biscarrosse
1079,40303,Saint-Vincent-de-Tyrosse,40,1910,4272,6182,14646,Saint-Vincent-de-Tyrosse
1080,40401,Mont-de-Marsan,40,10833,5937,16771,40149,Mont-de-Marsan
1081,40402,Dax,40,7549,10946,18495,48780,Dax
1082,41101,Mondoubleau,41,364,341,705,2194,Mondoubleau
1083,41102,Muides-sur-Loire,41,211,922,1133,2479,Muides-sur-Loire
1084,41103,Chailles,41,148,989,1137,2537,Chailles
1085,41104,Nouan-le-Fuzelier,41,400,532,932,2381,Nouan-le-Fuzelier
1086,41105,Villefranche-sur-Cher,41,240,857,1098,2701,Villefranche-sur-Cher
1087,41106,Mont-près-Chambord,41,294,1115,1410,3271,Mont-près-Chambord
1088,41107,Saint-Laurent-Nouan,41,743,1098,1841,4222,Saint-Laurent-Nouan
1089,41108,Montoire-sur-le-Loir,41,838,665,1504,4350,Montoire-sur-le-Loir
1090,41109,Contres,41,736,1158,1894,4500,Contres
1091,41110,Lamotte-Beuvron,41,774,1023,1797,4736,Lamotte-Beuvron
1092,41111,Selles-sur-Cher,41,522,898,1420,4616,Selles-sur-Cher
1093,41201,Salbris,41,1272,1070,2341,5704,Salbris
1094,41202,Mer,41,958,1520,2478,6115,Mer
1095,41203,Onzain,41,705,1933,2639,6387,Onzain
1096,41204,Montrichard Val de Cher,41,833,1771,2602,7019,Montrichard Val de Cher
1097,41205,Saint-Aignan,41,849,1838,2687,8219,Saint-Aignan
1098,41301,Romorantin-Lanthenay,41,3963,1792,5755,17027,Romorantin-Lanthenay
1099,41401,Vendôme,41,4284,4182,8466,23655,Vendôme
1100,41501,Blois,41,13672,12191,25863,66752,Blois
1101,42101,Panissières,42,606,650,1257,2972,Panissières
1102,42102,Bourg-Argental,42,458,757,1215,3011,Bourg-Argental
1103,42103,Maclas,42,373,1017,1390,3207,Maclas
1104,42104,Lentigny,42,252,1364,1616,3692,Lentigny
1105,42105,Balbigny,42,480,1000,1480,4021,Balbigny
1106,42106,Saint-Héand,42,464,968,1432,3561,Saint-Héand
